target,text
ham,Are you ok. What happen to behave like this
ham,And I don't plan on staying the night but I prolly won't be back til late
ham,Huh y lei...
ham,Ugh fuck it I'm resubbing to eve
ham,Lol they were mad at first but then they woke up and gave in.
ham,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min
ham,Hi da:)how is the todays class?
ham,What you doing?how are you?
ham,Is that on the telly? No its Brdget Jones!
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
spam,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05
ham,If I was I wasn't paying attention
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account
ham,How are you enjoying this semester? Take care brother.
ham,Haha... Really oh no... How? Then will they deduct your lesson tmr?
ham,K I'll be sure to get up before noon and see what's what
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk"
ham,Ok which your another number
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
ham,"Not really dude, have no friends i'm afraid :("
ham,K.k:)when are you going?
ham,Are you planning to come chennai?
ham,You're gonna have to be way more specific than that
ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ..."
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
ham,Compliments to you. Was away from the system. How your side.
spam,As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
ham,I will come to ur home now
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
ham,You said to me before i went back to bed that you can't sleep for anything.
ham,You unbelievable faglord
ham,I went to ur hon lab but no one is there.
ham,I dont know exactly could you ask chechi.
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,No problem with the renewal. I.ll do it right away but i dont know his details.
ham,"Hi this is yijue, can i meet u at 11 tmr?"
ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
ham,Is ur paper in e morn or aft tmr?
ham,U havenåÕt lost me ill always b here 4u.i didnåÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatåÕs what itried2tell urmom.i careabout u
ham,"By the way, 'rencontre' is to meet again. Mountains dont...."
ham,I have to take exam with in march 3
ham,Ok anyway no need to change with what you said
ham,Have you heard from this week?
ham,How do you guys go to see movies on your side.
ham,"Hey, iouri gave me your number, I'm wylie, ryan's friend"
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
ham,"Excellent, I'll see what riley's plans are"
ham,Yavnt tried yet and never played original either
ham,It is only yesterday true true.
ham,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
ham,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...
ham,How come?
ham,This is all just creepy and crazy to me.
ham,I sent your maga that money yesterday oh.
ham,My sister got placed in birla soft da:-)
ham,Can... I'm free...
spam,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.
ham,You in your room? I need a few
spam,Reply to win å£100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service
ham,K.k.how is your business now?
ham,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?"
ham,"Jay wants to work out first, how's 4 sound?"
ham,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.
ham,If he started searching he will get job in few days.he have great potential and talent.
ham,"Nothing really, just making sure everybody's up to speed"
ham,I'll talk to the others and probably just come early tomorrow then
ham,S.i'm watching it in live..
ham,S:-)if we have one good partnership going we will take lead:)
ham,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?"
ham,"aight we can pick some up, you open before tonight?"
ham,Yo theres no class tmrw right?
spam,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO"
ham,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha."
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
ham,Let me know how to contact you. I've you settled in a room. Lets know you are ok.
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
ham,Small problem in auction:)punj now asking tiwary
ham,Dear got train and seat mine lower seat
ham,ITS A LAPTOP TAKE IT WITH YOU.
ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P"
ham,Unless it's a situation where YOU GO GURL would be more appropriate
ham,"Im in inperialmusic listening2the weirdest track ever byåÓleafcutter johnåÓ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
ham,"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\"""""
ham,I hope your pee burns tonite.
ham,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
ham,Pls pls find out from aunt nike.
ham,Mathews or tait or edwards or anderson
ham,ok....take care.umma to you too...
ham,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
ham,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8
ham,I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...
ham,K k pa Had your lunch aha.
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
ham,What Today-sunday..sunday is holiday..so no work..
spam,u r a winner U ave been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 )
ham,Okie...
spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg å£1.50"
ham,Nobody names their penis a girls name this story doesn't add up at all
ham,"I'm not sure, I was just checking out what was happening around the area"
ham,Take some small dose tablet for fever
ham,I've not sent it. He can send me.
ham,Kothi print out marandratha.
ham,o turns out i had stereo love on mi phone under the unknown album.
ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
ham,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not
ham,"Sorry, I'll call later in meeting"
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117
spam,"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply."
ham,Asking do u knw them or nt? May be ur frnds or classmates?
ham,Yup bathe liao...
ham,"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details"
ham,Really? I crashed out cuddled on my sofa.
ham,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over."
ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
ham,I'm really not up to it still tonight babe
ham,Just send a text. We'll skype later.
spam,"Congratulations - Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
ham,Ok i juz receive..
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
ham,Reason is if the team budget is available at last they buy the unsold players for at base rate..
ham,U wan 2 haf lunch i'm in da canteen now.
ham,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx
ham,No prob. I will send to your email.
spam,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"""
ham,Shall i come to get pickle
ham,Change again... It's e one next to escalator...
ham,I have no money 4 steve mate! !
ham,K.k.this month kotees birthday know?
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
ham,"\Life is nothing wen v get everything\"". But \""life is everything wen v miss something \"". Real value of people wil be realized only in their absence.... gud mrng"""
ham,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.
ham,I dunno until when... Lets go learn pilates...
ham,Thanks for ve lovely wisheds. You rock
ham,I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:)
ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
ham,Hi.:)technical support.providing assistance to us customer through call and email:)
ham,I've been trying to reach him without success
ham,This pay is  &lt;DECIMAL&gt;  lakhs:)
spam,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.
ham,Mm have some kanji dont eat anything heavy ok
ham,Still chance there. If you search hard you will get it..let have a try :)
ham,Correct. So how was work today
ham,I'm now but have to wait till 2 for the bus to pick me.
ham,Ok... I din get ur msg...
ham,It only does simple arithmetic not percentages.
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 
ham,THIS IS A LONG FUCKIN SHOWR
ham,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..
ham,I love to cuddle! I want to hold you in my strong arms right now...
ham,Super da:)good replacement for murali
ham,What time. IÛ÷m out until prob 3 or so
ham,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
ham,Will be out of class in a few hours. Sorry
ham,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) 
ham,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?
ham,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.
ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke 
ham,S.s:)i thinl role is like sachin.just standing. Others have to hit.
spam,"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16"
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
ham,LOL that would be awesome payback.
ham,I dunno lei... Like dun haf...
ham,East coast
ham,Cos daddy arranging time c wat time fetch Ì_ mah...
ham,I think its far more than that but find out. Check google maps for a place from your dorm.
ham,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night
ham,"Kate jackson rec center before 7ish, right?"
ham,What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother
ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
ham,Thanks for sending this mental ability question..
spam,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
ham,No calls..messages..missed calls
ham,Gudnite....tc...practice going on
ham,Haha okay... Today weekend leh... 
ham,U still havent got urself a jacket ah?
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
ham,Ok lar... Joking wif u oni...
ham,am up to my eyes in philosophy
ham,Love you aathi..love u lot..
ham,May i call You later Pls
spam,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT"
ham,Yup ok thanx...
ham,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP
ham,I'm putting it on now. It should be ready for  &lt;TIME&gt; 
spam,Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm
ham,"K, wat s tht incident?"
ham,O. Well uv causes mutations. Sunscreen is like essential thesedays
ham,Lol for real. She told my dad I have cancer
ham,I finished my lunch already. U wake up already?
spam,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 å£100 cash. Name the NEW US President? txt ans to 80082
ham,Love it! The girls at the office may wonder why you are smiling but sore...
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114"
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
